OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS
51.53,51.84,51.45,51.68,53656100,0.0,0,QQQ,2011-01-27,0.0,0.0,0.0
51.67,51.72,50.14,50.37,123359900,0.0,0,QQQ,2011-01-28,0.0,0.0,0.0
50.44,50.76,50.06,50.62,70571300,0.0,0,QQQ,2011-01-31,2.0,100.88,100.88
51.0,51.68,50.94,51.56,76952900,0.0,0,QQQ,2011-02-01,2.0,100.88,102.0
51.46,51.67,51.38,51.48,48661000,0.0,0,QQQ,2011-02-02,2.0,100.88,102.92
51.38,51.65,50.98,51.57,45341900,0.0,0,QQQ,2011-02-03,2.0,100.88,102.76
51.56,51.9,51.43,51.86,47647800,0.0,0,QQQ,2011-02-04,2.0,100.88,103.12
51.96,52.4,51.88,52.11,45627100,0.0,0,QQQ,2011-02-07,4.0,204.8,207.84
52.13,52.49,52.03,52.45,38099900,0.0,0,QQQ,2011-02-08,4.0,204.8,208.52
52.37,52.53,52.2,52.36,62540800,0.0,0,QQQ,2011-02-09,4.0,204.8,209.48
52.02,52.51,51.96,52.44,70194700,0.0,0,QQQ,2011-02-10,4.0,204.8,208.08
52.29,52.86,52.22,52.82,47853500,0.0,0,QQQ,2011-02-11,4.0,204.8,209.16
52.82,53.02,52.77,52.95,48506100,0.0,0,QQQ,2011-02-14,6.0,310.44,316.92
52.82,52.94,52.63,52.88,39723800,0.0,0,QQQ,2011-02-15,6.0,310.44,316.92
53.01,53.36,52.99,53.22,53061700,0.0,0,QQQ,2011-02-16,6.0,310.44,318.06
52.96,53.3,52.92,53.2,38361900,0.0,0,QQQ,2011-02-17,6.0,310.44,317.76
53.2,53.3,52.88,53.08,44334300,0.0,0,QQQ,2011-02-18,6.0,310.44,319.20000000000005
52.36,52.54,51.47,51.55,92598100,0.0,0,QQQ,2011-02-22,6.0,310.44,314.15999999999997
51.55,51.73,50.73,51.12,97842900,0.0,0,QQQ,2011-02-23,6.0,310.44,309.29999999999995
51.23,51.55,50.74,51.39,98716100,0.0,0,QQQ,2011-02-24,6.0,310.44,307.38
51.68,52.17,51.63,52.11,54094600,0.0,0,QQQ,2011-02-25,6.0,310.44,310.08
52.32,52.47,51.91,52.22,51402800,0.0,0,QQQ,2011-02-28,8.0,415.08,418.56
52.44,52.44,51.25,51.38,91993900,0.0,0,QQQ,2011-03-01,8.0,415.08,419.52
51.35,51.98,51.33,51.65,61552900,0.0,0,QQQ,2011-03-02,8.0,415.08,410.8
52.13,52.76,52.13,52.67,64146600,0.0,0,QQQ,2011-03-03,8.0,415.08,417.04
52.65,52.66,52.05,52.4,62328400,0.0,0,QQQ,2011-03-04,8.0,415.08,421.2
52.61,52.66,51.22,51.69,98470000,0.0,0,QQQ,2011-03-07,10.0,520.3,526.1
51.63,52.13,51.31,51.9,62399100,0.0,0,QQQ,2011-03-08,10.0,520.3,516.3000000000001
51.71,51.76,51.27,51.55,84764200,0.0,0,QQQ,2011-03-09,10.0,520.3,517.1
50.97,51.09,50.53,50.74,102894400,0.0,0,QQQ,2011-03-10,10.0,520.3,509.7
50.45,51.21,50.45,51.06,81679400,0.0,0,QQQ,2011-03-11,10.0,520.3,504.5
50.78,51.15,50.49,50.88,73565800,0.0,0,QQQ,2011-03-14,12.0,621.8599999999999,609.36
49.39,50.45,49.23,50.15,101276500,0.0,0,QQQ,2011-03-15,12.0,621.8599999999999,592.6800000000001
49.74,50.02,48.6,48.94,176507700,0.0,0,QQQ,2011-03-16,12.0,621.8599999999999,596.88
49.72,49.93,48.93,49.4,94434500,0.0,0,QQQ,2011-03-17,12.0,621.8599999999999,596.64
49.98,49.98,49.25,49.28,94887200,0.08,0,QQQ,2011-03-18,12.0,621.8599999999999,599.76
50.04,50.49,49.33,50.23,57423000,0.0,0,QQQ,2011-03-21,14.0,721.9399999999999,700.56
50.31,50.33,50.04,50.14,36162100,0.0,0,QQQ,2011-03-22,14.0,721.9399999999999,704.34
49.96,50.57,49.62,50.42,60365100,0.0,0,QQQ,2011-03-23,14.0,721.9399999999999,699.44
50.81,51.43,50.52,51.32,69502400,0.0,0,QQQ,2011-03-24,14.0,721.9399999999999,711.34
51.48,51.79,51.35,51.45,74131100,0.0,0,QQQ,2011-03-25,14.0,721.9399999999999,720.7199999999999
51.67,51.68,51.14,51.17,37824000,0.0,0,QQQ,2011-03-28,16.0,825.28,826.72
51.05,51.66,50.9,51.66,47994800,0.0,0,QQQ,2011-03-29,16.0,825.28,816.8
51.92,51.98,51.66,51.91,44935900,0.0,0,QQQ,2011-03-30,16.0,825.28,830.72
51.82,52.03,51.73,51.98,50004300,0.0,0,QQQ,2011-03-31,16.0,825.28,829.12
52.24,52.41,51.85,52.01,68031800,0.0,0,QQQ,2011-04-01,16.0,825.28,835.84
52.15,52.21,51.61,51.84,48659100,0.0,0,QQQ,2011-04-04,18.0,929.5799999999999,938.6999999999999
51.74,52.04,51.59,51.7,55349400,0.0,0,QQQ,2011-04-05,18.0,929.5799999999999,931.32
52.1,52.25,51.53,51.83,49532100,0.0,0,QQQ,2011-04-06,18.0,929.5799999999999,937.8000000000001
